,Unnamed: 0,Open,High,Low,Close,Volume,fast_sma,slow_sma,Lstoch,Hstoch,%K,%D,rolling_mean,boll_high,boll_low,PP,R1,R2,R3,S1,S2,S3
0,0,79.92699999999999,80.555,78.984,79.596,37886,,,,,,,,,,79.71166666666666,80.43933333333331,81.28266666666667,82.85366666666668,78.86833333333331,78.14066666666666,76.56966666666662
1,1,79.57600000000001,79.626,78.56,78.881,33557,,,,,,,,,,79.02233333333334,79.48466666666667,80.08833333333334,81.15433333333334,78.41866666666667,77.95633333333333,76.89033333333333
2,2,78.808,78.875,78.094,78.49600000000002,42989,,,,,,,,,,78.48833333333333,78.88266666666667,79.26933333333334,80.05033333333334,78.10166666666666,77.70733333333331,76.92633333333332
3,3,78.484,78.568,77.516,78.084,43835,,,,,,,,,,78.056,78.59599999999998,79.10799999999998,80.15999999999998,77.544,77.00399999999999,75.95200000000001
4,4,78.08,78.742,77.753,78.529,41218,,,,,,,78.7172,79.00052962252472,78.4338703774753,78.34133333333334,78.92966666666669,79.33033333333334,80.31933333333333,77.94066666666667,77.35233333333333,76.36333333333333
5,5,78.532,78.671,75.596,76.76,64997,78.391,,75.596,80.555,23.47247428917122,,78.15,78.5633834479028,77.73661655209722,77.009,78.422,80.084,83.15899999999999,75.347,73.934,70.859
6,6,76.756,77.54,76.744,77.039,42357,77.96483333333333,,75.596,79.626,35.80645161290315,,77.7816,78.19659557226555,77.36660442773446,77.10766666666666,77.4713333333333,77.90366666666667,78.69966666666667,76.67533333333331,76.31166666666665,75.51566666666666
7,7,77.862,78.15899999999998,77.336,77.502,36109,77.735,,75.596,78.875,58.12747788960029,39.13546793055823,77.58279999999998,77.94729818243717,77.2183018175628,77.66566666666667,77.99533333333333,78.48866666666666,79.31166666666665,77.17233333333334,76.84266666666667,76.0196666666667
8,8,77.49,78.568,77.312,78.056,37243,77.66166666666669,,75.596,78.742,78.19453273998705,57.376154080830176,77.57719999999998,77.93933799165511,77.21506200834487,77.97866666666665,78.64533333333331,79.23466666666666,80.49066666666666,77.38933333333331,76.72266666666665,75.46666666666665
9,9,78.03699999999999,78.758,77.779,78.324,32139,77.70166666666667,78.1267,75.596,78.758,86.27450980392162,74.19884014450298,77.5362,77.86613226577586,77.20626773422413,78.28699999999998,78.79499999999999,79.26599999999998,80.24499999999998,77.81599999999997,77.30799999999998,76.329
10,10,78.32,80.863,78.25399999999998,80.845,53874,78.08766666666666,78.2516,75.596,80.863,99.65824947788113,88.04243067392994,78.35319999999999,79.09270620348985,77.61369379651012,79.98733333333331,81.72066666666666,82.59633333333333,85.20533333333334,79.11166666666666,77.37833333333332,74.76933333333331
11,11,80.839,81.605,72.52,76.354,168192,78.02,77.9989,72.52,81.605,42.201430930104564,76.04473007063577,78.21619999999999,79.04255286046579,77.38984713953421,76.82633333333331,81.13266666666667,85.91133333333332,94.99633333333334,72.04766666666664,67.74133333333332,58.65633333333331
