,dt,Open,High,Low,Close,Volume,fast_sma,slow_sma,Lstoch,Hstoch,%K,%D,rolling_mean,boll_high,boll_low,PP,R1,R2,R3,S1,S2,S3
0,2018-05-04T11:00:00.000000000Z,1310.913,1311.033,1310.2169999999999,1310.594,1946,,,,,,,,,,1310.6146666666666,1311.0123333333333,1311.4306666666666,1312.2466666666667,1310.1963333333333,1309.7986666666666,1308.9826666666665
1,2018-05-04T11:15:00.000000000Z,1310.718,1310.912,1310.108,1310.414,2176,,,,,,,,,,1310.478,1310.8480000000002,1311.2820000000002,1312.0860000000002,1310.044,1309.674,1308.87
2,2018-05-04T11:30:00.000000000Z,1310.304,1312.0410000000002,1310.3039999999999,1311.57,3668,,,,,,,,,,1311.305,1312.3060000000003,1313.0420000000004,1314.7790000000007,1310.569,1309.5679999999998,1307.8309999999994
3,2018-05-04T11:45:00.000000000Z,1311.554,1312.0829999999999,1311.344,1311.431,3001,,,,,,,,,,1311.6193333333333,1311.8946666666666,1312.3583333333331,1313.097333333333,1311.1556666666668,1310.8803333333335,1310.1413333333337
4,2018-05-04T12:00:00.000000000Z,1311.542,1311.726,1310.596,1310.854,4455,,,,,,,1310.9726,1311.2271161095098,1310.7180838904903,1311.0586666666668,1311.5213333333336,1312.188666666667,1313.318666666667,1310.3913333333335,1309.9286666666667,1308.7986666666666
5,2018-05-04T12:15:00.000000000Z,1310.825,1311.0120000000002,1309.4,1310.7720000000002,11025,1310.9391666666668,,1309.4,1312.0829999999999,51.13678717853861,,1311.0082,1311.2489047984566,1310.7674952015434,1310.3946666666668,1311.3893333333335,1312.006666666667,1313.618666666667,1309.7773333333334,1308.7826666666667,1307.1706666666666
6,2018-05-04T12:30:00.000000000Z,1310.785,1315.839,1310.224,1314.182,75922,1311.5371666666667,,1309.4,1315.839,74.26619040223693,,1311.7618,1312.4603426257574,1311.0632573742425,1313.415,1316.606,1319.03,1324.645,1310.991,1307.8,1302.185
7,2018-05-04T12:45:00.000000000Z,1314.184,1314.604,1312.582,1313.44,21036,1312.0415,,1309.4,1315.839,62.74266190402326,62.7152131615996,1312.1358,1312.9219129371788,1311.3496870628212,1313.5420000000001,1314.5020000000002,1315.564,1317.586,1312.4800000000002,1311.5200000000002,1309.4980000000003
8,2018-05-04T13:00:00.000000000Z,1313.436,1313.5179999999998,1309.144,1311.364,32019,1312.007166666667,,1309.144,1315.839,33.159073935773684,56.72264208067796,1312.1223999999997,1312.9124004430375,1311.332399556962,1311.3419999999999,1313.5399999999997,1315.7159999999997,1320.0899999999995,1309.166,1306.968,1302.5940000000003
9,2018-05-04T13:15:00.000000000Z,1311.366,1311.47,1307.947,1309.252,25614,1311.6440000000002,1311.3873,1307.947,1315.839,16.53573238722827,37.47915607567507,1311.802,1312.805203867616,1310.7987961323838,1309.5563333333332,1311.1656666666665,1313.0793333333334,1316.6023333333335,1307.6426666666664,1306.033333333333,1302.510333333333
10,2018-05-04T13:30:00.000000000Z,1309.385,1310.838,1308.3319999999999,1309.0610000000001,22565,1311.3451666666667,1311.234,1307.947,1315.839,14.115560060824286,21.270122127942084,1311.4598,1312.6315872247128,1310.2880127752874,1309.4103333333335,1310.488666666667,1311.9163333333336,1314.4223333333337,1307.982666666667,1306.9043333333334,1304.3983333333333
11,2018-05-04T13:45:00.000000000Z,1309.059,1310.739,1309.046,1309.9660000000001,14056,1311.2108333333333,1311.1892,1307.947,1315.839,25.582868727828423,18.744720391960332,1310.6166,1311.5261156403271,1309.707084359673,1309.9170000000001,1310.7880000000002,1311.6100000000001,1313.303,1309.0950000000003,1308.2240000000002,1306.5310000000002
12,2018-05-04T14:00:00.000000000Z,1310.060,1312.1170000000002,1309.632,1311.4289999999999,15881,1310.752,1311.1751,1307.947,1314.604,52.305843473034265,30.668090753895665,1310.2144,1310.7798136317774,1309.6489863682227,1311.0593333333334,1312.4866666666667,1313.5443333333335,1316.0293333333336,1310.0016666666666,1308.5743333333332,1306.0893333333331
13,2018-05-04T14:15:00.000000000Z,1311.452,1312.066,1310.687,1310.9920000000002,8516,1310.3439999999998,1311.1312,1307.947,1313.5179999999998,54.65805061928465,44.182254273382455,1310.14,1310.662642683867,1309.6173573161332,1311.2483333333332,1311.8096666666665,1312.6273333333334,1314.0063333333335,1310.4306666666664,1309.869333333333,1308.490333333333
14,2018-05-04T14:30:00.000000000Z,1310.977,1313.7520000000002,1310.964,1312.892,13027,1310.5986666666665,1311.335,1307.947,1313.7520000000002,85.18518518518373,64.0496930925009,1310.868,1311.597105873656,1310.138894126344,1312.536,1314.1080000000002,1315.3240000000003,1318.1120000000005,1311.32,1309.7479999999998,1306.9599999999996
15,2018-05-04T14:45:00.000000000Z,1312.766,1313.193,1310.649,1311.271,10535,1310.9351666666664,1311.3849000000002,1308.3319999999999,1313.7520000000002,54.225092250920945,64.68944268512979,1311.31,1311.8359435568573,1310.7840564431426,1311.7043333333331,1312.7596666666664,1314.2483333333332,1316.7923333333333,1310.2156666666663,1309.160333333333,1306.616333333333
16,2018-05-04T15:00:00.000000000Z,1311.400,1311.61,1310.462,1310.9360000000001,12041,1311.2476666666664,1311.0603,1309.046,1313.7520000000002,40.16149596260195,59.85725779956889,1311.5039999999997,1311.904876071872,1311.1031239281274,1311.0026666666668,1311.5433333333335,1312.1506666666667,1313.2986666666666,1310.3953333333336,1309.8546666666668,1308.706666666667
17,2018-05-04T15:15:00.000000000Z,1311.047,1311.2420000000002,1309.874,1310.368,9034,1311.3146666666664,1310.7531000000001,1309.632,1313.7520000000002,17.864077669899398,37.416888627807445,1311.2917999999997,1311.7681764792678,1310.8154235207317,1310.4946666666667,1311.1153333333334,1311.8626666666669,1313.230666666667,1309.7473333333332,1309.1266666666666,1307.7586666666664
